id;id_tenant;logo_tenat;space_name_tenant;phone_number_tenant;web_site_tenant;email_tenant;facebook_tenant;twitter_tenant;instagram_tenant;youtube_tenant
1;Representative;payment Avon;harness technologies;Kentucky violet Shoes;feed bypassing matrix;Fresh Flats revolutionize;Cambridgeshire;Avon;Concrete invoice;Profound
2;Grocery Steel content-based;high-level quantifying;program Dynamic;Kentucky Cambridgeshire Falkland Islands Pound;global;Communications;red bypassing;Markets monitor;focus group Shirt;1080p
3;Monitored copying Lakes;forecast IB Points;driver;Hills Delaware;generating;Mobility;Integrated;enhance;Sports;Pound Sterling
4;Vista clicks-and-mortar;wireless TCP HTTP;Underpass Senior Kazakhstan;platforms Refined Rubber Salad innovate;architect Implementation Jewelery;Washington Mongolia;Legacy;Baby;sky blue;Cross-group
5;process improvement hybrid;Fish Comoros Fresh;scalable;Flat Corporate productize;Personal Loan Account withdrawal;Computer Frozen systems;RAM sensor gold;XML Auto Loan Account;Licensed Sausages;Hat Orchestrator
6;functionalities Industrial;Legacy generate Personal Loan Account;Sports;intuitive deposit;1080p enhance Plastic;Tenge harness;encoding Planner;connect;Buckinghamshire;Rufiyaa
7;Cove;client-driven Home Loan Account;navigate;synthesizing;Sports;San Marino Personal Loan Account;Cheese implement Assistant;Synergistic withdrawal;Pants concept Philippines;composite Games Mobility
8;Orchestrator;Expanded;Iraq Somoni Toys;navigating;cross-platform Guinea-Bissau Supervisor;transmitter;Directives website;Branding program RAM;HTTP Small Facilitator;Wooden haptic
9;morph;leverage;azure Small;Ecuador needs-based Synergized;Cambridgeshire;program;Shoals;Health Human;Jamaica generating Brazilian Real;Nevada strategic
10;quantifying parse Frozen;Soap International Benin;Austria Borders;red hard drive;ADP International;Small Soft Ball;Frozen;generate facilitate Granite;Dynamic;Concrete
