id;conntry;city;zip_code;adress
1;Secured productize;South Ralphmouth;67265-3013;multi-byte Soft
2;Colombia Licensed Plastic Hat;Port Miles;85919-9808;explicit Gold
3;harness port neural;Port Harley;12799-1015;compressing
4;Investor;East Felixland;88512;Northern Mariana Islands
5;SAS Sports Licensed;Tayafort;89755;Checking Account analyzer Licensed Fresh Salad
6;open-source help-desk;South Royce;52203-8163;Algeria Austria solutions
7;invoice;Corkerymouth;37465-5360;alarm Missouri fuchsia
8;Moldovan Leu calculating Checking Account;Bartellton;48830-7431;auxiliary 1080p Track
9;Mauritius;Ratkebury;12124;synthesize Refined sky blue
10;drive bus;Lake Cecil;63565-3188;holistic Colorado
